Fleet Name,Log.Event Dt,Pumping Hours,Transition Time (hrs),NPT_int,Time Available (hrs),NPT_ext,Ranking Score,Daily_Rank
Frac 10,2024-06-09,9.683333334,2.315,0.161666667,13.624444447,2.290555556,0.635851183676475,6.0
Frac 40,2024-06-09,8.383888888,2.093055555,0.428333333,10.978888886,0.0,0.5339793544568714,7.0
Frac 39,2024-06-09,13.038611112,4.066944445,1.8627777779999999,19.275277779,0.0,0.36880863510797146,8.0
Frac 40,2024-07-01,14.02888889,1.921111111,0.139722222,16.215000001,0.0,0.7380854490448298,1.0
Frac 08,2024-07-01,13.189166666,1.811666667,0.690833333,16.1375,0.0,0.6622256648179706,2.0
Frac 21,2024-07-01,15.206944443,1.08,2.645833333,20.574444443,3.02,0.6540287359864697,3.0
Frac 39,2024-07-01,8.328888888,1.01,0.618055555,10.345833332,0.0,0.6476842529711071,4.0
Frac 90,2024-07-01,16.433333333,1.416666668,2.683333334,20.533333335000002,0.0,0.6006493504869602,5.0
Frac 38,2024-07-01,13.191388888999999,3.349444444,1.371111111,19.883333333,3.444444446,0.5152923285891177,6.0
Frac 10,2024-07-01,11.406666667,7.471944445,0.0,18.969166668,0.0,0.2074272576579588,7.0
Frac 18,2024-07-01,0.0,0.0,0.0,0.0,0.0,,
Frac 32,2024-07-01,0.0,0.0,0.0,0.0,0.0,,
Frac 32,2024-07-02,19.521388888,1.519444446,0.478333333,21.750277779,0.0,0.8056729797685219,1.0
Frac 40,2024-07-02,18.950833333,2.389166668,0.1775,21.646666665,0.0,0.7568909762670842,2.0
Frac 90,2024-07-02,7.916666666999999,0.466666668,0.75,9.133333335,0.0,0.7335766420924129,3.0
Frac 39,2024-07-02,18.850555556,2.623333333,0.79,23.93388889,2.438888888,0.7181773538759547,4.0
Frac 38,2024-07-02,15.931388886,2.439166667,0.877777778,19.811388889,0.661111112,0.6587081706015925,5.0
Frac 18,2024-07-02,12.786111112,4.126666666,1.637222222,21.352499999,0.0,0.32887119654976565,6.0
Frac 08,2024-07-02,11.842222221,2.505277778,8.268055555,22.893611107999998,0.0,0.04668939657258723,7.0
Frac 10,2024-07-02,7.932222224,7.566944444000001,0.0,17.015277779,1.7699999979999999,0.023960060633020454,8.0
Frac 08,2024-07-03,8.247500001,0.329444444,0.0,10.531944447,3.279444444,1.0917691215063348,1.0
Frac 40,2024-07-03,7.520833334,0.299166667,0.0,8.541944444999999,1.242222222,0.9893070511979126,2.0
Frac 32,2024-07-03,12.824722222,0.557777778,0.28500000000000003,13.770277778,0.0,0.8701309179937444,3.0
Frac 10,2024-07-03,11.945000001,1.196388889,0.071388889,13.31527778,0.0,0.8018775424300612,4.0
Frac 90,2024-07-03,15.650000001,2.483333331,1.016666667,19.149999999,0.0,0.634464752148014,5.0
Frac 38,2024-07-03,8.001111112,2.023611111,0.071388889,10.967222223,1.346111112,0.6138699619888425,6.0
Frac 39,2024-07-03,2.846666667,3.081111111,0.0,6.070000001,0.0,-0.03862346687996314,7.0
Frac 32,2024-07-04,15.363055554999999,0.5825,0.0,16.136111110999998,0.0,0.9159924255184438,1.0
Frac 10,2024-07-04,18.359166668,2.539444445,0.0,22.183055558,2.415,0.800266985115684,2.0
Frac 39,2024-07-04,12.87138889,1.141388889,0.31694444499999996,14.550000003000001,0.0,0.7844024435496076,3.0
Frac 21,2024-07-04,9.356944445,1.9327777780000002,0.268888889,11.708055556,0.0,0.6111414268386479,4.0
Frac 40,2024-07-04,7.370555556,1.5547222219999999,0.584444445,9.569444445,0.0,0.5466763425052729,5.0
Frac 38,2024-07-04,4.598055556,1.456388889,2.495833334,9.44638889,1.597222222,0.08228049681158843,6.0
Frac 18,2024-07-04,0.0,0.0,0.0,24.0,48.0,-0.0,7.0
Frac 90,2024-07-04,4.2583333329999995,2.7566666669999997,0.0,21.963333335,29.76277778,-0.19253508074702363,8.0
Frac 32,2024-07-05,11.64,0.564166665,0.0,12.366666668,0.0,0.8956199461298523,1.0
Frac 18,2024-07-05,7.6175,1.0075,0.0,8.821111112,0.242777778,0.770545949036678,2.0
Frac 90,2024-07-05,17.827777777,2.295833331,1.758055556,23.991388886,3.632777778,0.6765632889655963,3.0
Frac 38,2024-07-05,7.618333333000001,1.634444445,0.0,10.056111111,0.965555556,0.6582533764626447,4.0
Frac 40,2024-07-05,16.485555554,2.407499999,1.282777778,20.538611109,0.572222222,0.6408408575739467,5.0
Frac 08,2024-07-05,15.288888888,2.689999999,1.2288888889999998,19.35611111,0.0,0.5874113831742723,6.0
Frac 10,2024-07-05,5.9858333329999995,3.77777778,0.003333333,10.500833335,0.0,0.209956881484016,7.0
Frac 38,2024-07-06,10.362500001,1.4694444450000002,0.0,21.032500002,18.15611111,3.0917431160765334,1.0
Frac 32,2024-07-06,10.977222222,0.7905555559999999,0.28916666599999996,12.18611111,0.0,0.8121951220252742,2.0
Frac 90,2024-07-06,11.893055556,1.031388889,0.927222222,14.226944446000001,0.325555556,0.7146368268386742,3.0
Frac 10,2024-07-06,12.286388889,2.520277778,0.0,15.501944445,0.988333334,0.672893261112541,4.0
Frac 18,2024-07-06,2.016666667,1.145555556,0.0,18.650555557,15.429166667,0.2704147623107994,5.0
Frac 40,2024-07-06,6.583888889000001,5.119166666,0.312777778,12.063055556,0.0,0.09549358698153712,6.0
Frac 39,2024-07-06,10.032777778,0.563333333,11.240555557,21.850833334,0.0,-0.08105462546566325,7.0
Frac 21,2024-07-06,0.0,0.0,0.0,0.0,0.0,,
Frac 08,2024-07-07,7.256666667,1.086666667,0.618333333,15.921666666,13.738333332,2.5427480909793134,1.0
Frac 32,2024-07-07,21.056944444,1.29388889,0.346944445,22.829166669,0.0,0.8504958323934517,2.0
Frac 18,2024-07-07,0.0,0.0,0.0,24.0,48.0,-0.0,3.5
Frac 40,2024-07-07,0.0,0.0,0.0,22.746666668000003,45.46277778,-0.0,3.5
Frac 90,2024-07-07,4.302499999,5.412499998,0.3375,10.610833332,0.9,-0.14906032773006922,5.0
Frac 39,2024-07-07,2.414166667,0.610555556,0.0,11.515833333,16.603333332000002,-0.3545181545659985,6.0
Frac 38,2024-07-07,5.283611111,0.0,0.358888889,20.471111109,29.657222217999998,-0.5361052314265013,7.0
Frac 39,2024-07-08,8.683055555,0.645555556,0.0,12.238333334,5.420555558,1.1789031944240946,1.0
Frac 38,2024-07-08,11.400277778,2.151388889,0.035555556,15.654166669,1.722777778,0.6613363107645374,2.0
Frac 32,2024-07-08,8.950000000000001,1.18027778,1.0416666669999999,11.305000003,0.0,0.5951398099261018,3.0
Frac 40,2024-07-08,13.974722223,3.395277777,0.220555556,17.677222222,0.0,0.586002074302599,4.0
Frac 90,2024-07-08,12.691388888999999,1.345555555,1.982777778,16.149444444,0.0,0.5797757061221169,5.0
Frac 21,2024-07-08,11.165555556000001,2.0,1.775277778,15.014166667,0.0,0.49222031045141335,6.0
Frac 10,2024-07-08,6.505555556,5.607222222,0.0,12.241388889,0.04,0.07362549806193626,7.0
Frac 18,2024-07-09,5.691111111,0.0,0.21111111100000002,6.362222223,0.477222222,0.9311809684059165,1.0
Frac 32,2024-07-09,12.051111111,0.897777778,0.0,13.072222222,0.027222222,0.8549891401303182,2.0
Frac 10,2024-07-09,13.337222223000001,2.335,0.0,15.854166669000001,0.0,0.6939640822947122,3.0
Frac 40,2024-07-09,9.717222222,1.970833333,0.057777778,11.803055555,0.0,0.6514085335930625,4.0
Frac 90,2024-07-09,4.559444444,0.63,0.2925,5.639166665,0.0,0.6449435989492962,5.0
Frac 38,2024-07-09,10.789722223,1.761388889,2.200833334,15.905000002000001,2.068888888,0.49345512938903957,6.0
Frac 39,2024-07-09,12.879999999999999,4.336111111,2.723611111,20.247222223,0.088888888,0.2887281245565333,7.0
Frac 08,2024-07-09,2.1975,0.709722222,0.0,19.868333338,33.842777786,-0.10646418063602724,8.0
Frac 90,2024-08-01,15.983333334,1.633333334,0.666666667,22.000000002,7.433333334,0.939359267625688,1.0
Frac 39,2024-08-01,10.066666666,1.5625,0.0,12.005555554999999,0.010555556,0.7089759622100021,2.0
Frac 40,2024-08-01,11.522222222,1.356666666,0.677777778,13.694166666000001,0.0,0.6928335260849672,3.0
Frac 38,2024-08-01,11.084166667,2.0,1.129444444,14.324444446,0.0,0.5553250077507405,4.0
Frac 10,2024-08-01,15.201666668,6.184722224000001,0.0,21.459722226,0.0,0.4201799235348593,5.0
Frac 08,2024-08-01,7.297777778,2.0,1.68,11.163888889,0.0,0.32406071163648614,6.0
Frac 18,2024-08-01,7.891944444,2.593611111,1.398055555,12.150833332,0.0,0.320988501070817,7.0
Frac 21,2024-08-01,4.4394444449999995,1.704722222,2.198333333,9.495833334,2.166666666,0.07318552221522485,8.0
Frac 32,2024-08-01,0.0,0.0,0.394166667,0.394166667,0.0,-1.0,9.0
Frac 39,2024-08-02,11.928333333,1.478055555,0.364722222,17.621388887,6.84,0.9354597688393357,1.0
Frac 32,2024-08-02,21.241111112,0.829444444,0.0,22.252222224,0.0,0.9172866629915783,2.0
Frac 38,2024-08-02,16.402222223,1.515277778,0.633055556,21.645000002,4.332222222,0.8233161119567031,3.0
Frac 08,2024-08-02,12.368611112,3.08611111,0.606388889,19.938055554,7.035555556,0.6724364359112476,4.0
Frac 40,2024-08-02,16.200277778,3.02,0.347777778,19.730555556,0.0,0.6503871603401293,5.0
Frac 90,2024-08-02,5.966666667,1.366666667,0.0,7.366666667,0.066666666,0.6301369862150497,6.0
Frac 18,2024-08-02,13.863611112000001,2.156388889,1.980833333,19.38138889,1.945,0.5578212869281789,7.0
Frac 10,2024-08-02,7.645833334000001,4.381111111999999,0.0,12.13277778,0.0,0.26908283339547007,8.0
Frac 40,2024-08-03,17.123055556,1.525277777,0.0,18.741944443,0.0,0.8322390361596484,1.0
Frac 38,2024-08-03,14.416111111,2.390277779,0.142222222,17.676111112,1.006666668,0.7128978503106256,2.0
Frac 90,2024-08-03,12.333333332999999,1.866666666,0.9,15.099999999,0.0,0.6335540839492418,3.0
Frac 08,2024-08-03,11.811111110999999,2.889166666,0.0,14.915833334,0.055555556,0.6003888068773892,4.0
Frac 10,2024-08-03,9.915555556,3.509166666,0.0,13.540555556,0.085555556,0.47613443998513555,5.0
Frac 32,2024-08-03,10.87361111,0.729166667,3.9844444439999998,15.721666665,0.0,0.3918159652063836,6.0
Frac 39,2024-08-03,0.171388889,0.0,0.147222222,0.322222222,0.0,0.07500000108620682,7.0
